Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,5181131,12,11,22,27,42,1,1043,0.00%,4805.7,717.8,8.41,1627538124,50,60
HTTP Request,4864792,44,40,74,85,106,1,1090,0.00%,4510.2,673.9,21.04,1627539774,50,200
HTTP Request,5395222,11,10,22,27,40,0,1014,0.00%,4996.5,746.3,8.20,1628145067,50,60
HTTP Request,4749724,45,41,76,88,109,1,1064,0.00%,4398.5,657.2,21.95,1628146743,50,200
HTTP Request,7025110,9,8,17,21,34,0,1036,0.00%,6505.9,971.8,6.82,1628177106,50,60
HTTP Request,7912776,8,5,13,40,48,0,153,0.00%,7328.0,1094.5,10.59,1629053034,50,60
HTTP Request,6276502,34,24,69,82,95,0,1084,0.00%,5812.3,868.4,23.33,1629054721,50,200
HTTP Request,6511091,9,9,18,21,34,1,223,0.00%,6029.6,900.6,6.58,1629657839,50,60
HTTP Request,5802004,37,33,65,75,92,2,1041,0.00%,5373.1,802.8,18.88,1629659554,50,200
HTTP Request,5981707,10,6,37,45,52,1,1016,0.00%,5539.7,827.4,12.52,1630262592,50,60
HTTP Request,4906451,43,37,83,94,109,1,1064,0.00%,4543.9,678.9,26.70,1630264315,50,200
HTTP Request,9856858,6,2,4,67,71,0,273,0.00%,9128.6,1363.5,16.54,1631079752,0,60
HTTP Request,6589515,32,15,82,93,102,1,269,0.00%,6102.4,911.8,29.17,1631081491,0,200
HTTP Request,7351068,8,3,9,69,73,0,296,0.00%,6808.4,1016.9,18.87,1631472351,0,60
HTTP Request,5466424,39,19,90,102,114,0,1098,0.00%,5062.4,756.4,32.99,1631474225,0,200
HTTP Request,6307573,10,4,56,70,74,0,645,0.00%,5841.4,872.5,20.35,1632077199,0,60
HTTP Request,5441583,39,19,86,97,110,0,275,0.00%,5039.0,752.9,32.19,1632078957,0,200
HTTP Request,5907451,10,3,63,69,82,1,989,0.00%,5470.4,817.1,22.74,1632681948,0,60
HTTP Request,5999492,35,5,75,108,526,1,13818,0.00%,5555.6,830.0,147.22,1632683709,0,200
HTTP Request,5827981,11,4,64,69,81,1,1082,0.00%,5397.2,806.2,22.95,1633286800,0,60
