Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,7099155,9,7,19,24,37,1,1455,0.00%,6576.9,988.8,8.55,1627553838,50,60
HTTP Request,8472836,25,22,44,54,77,0,1138,0.00%,7849.5,1180.4,16.05,1627555354,50,200
HTTP Request,7588043,8,5,20,26,40,0,1025,0.00%,7027.9,1056.6,8.91,1628160304,50,60
HTTP Request,8652188,24,22,43,52,74,0,1079,0.00%,8012.7,1204.9,14.21,1628161790,50,200
HTTP Request,10053979,6,4,16,20,32,0,1038,0.00%,9311.7,1399.9,7.15,1628193417,50,60
HTTP Request,11388341,18,14,38,48,72,1,1062,0.00%,10546.7,1585.8,15.05,1628194878,50,200
HTTP Request,6420132,10,6,23,30,47,1,745,0.00%,5945.7,893.9,10.28,1628463214,50,60
HTTP Request,7701268,28,24,49,60,87,1,1054,0.00%,7131.9,1072.5,16.55,1628464822,50,200
HTTP Request,11423809,5,3,14,18,28,0,1013,0.00%,10579.6,1590.6,6.29,1628802018,50,60
HTTP Request,13089109,16,12,35,44,65,0,1068,0.00%,12121.3,1822.6,14.09,1628803627,50,200
HTTP Request,11902170,5,3,13,17,27,0,542,0.00%,11022.5,1657.1,6.13,1629068572,50,60
HTTP Request,13443708,16,10,37,46,69,0,1010,0.00%,12449.6,1871.9,15.35,1629070175,50,200
HTTP Request,10313633,6,4,15,19,29,1,222,0.00%,9551.3,1436.0,6.40,1629673411,50,60
HTTP Request,11421838,18,16,35,42,58,1,267,0.00%,10577.9,1590.5,11.82,1629675008,50,200
HTTP Request,9844967,6,4,15,19,29,0,212,0.00%,9117.4,1370.7,6.37,1630278195,50,60
HTTP Request,10730959,20,18,34,40,54,1,331,0.00%,9937.5,1494.3,10.65,1630279768,50,200
HTTP Request,12736918,5,1,3,67,80,0,1009,0.00%,11795.8,1773.4,16.77,1631096473,0,60
HTTP Request,14116021,15,3,78,81,87,1,1006,0.00%,13075.0,1965.7,27.63,1631098046,0,200
HTTP Request,9736673,6,1,4,78,84,0,190,0.00%,9017.2,1355.7,19.66,1631488164,0,60
HTTP Request,11527673,18,3,83,86,93,0,595,0.00%,10676.6,1605.3,31.52,1631489776,0,200
HTTP Request,9496608,6,1,4,79,84,0,1085,0.00%,8794.7,1322.2,19.98,1632092859,0,60
HTTP Request,11010251,19,3,84,88,96,0,1088,0.00%,10197.3,1533.3,32.57,1632094456,0,200
HTTP Request,8466294,7,2,4,78,81,1,1095,0.00%,7840.6,1178.8,20.36,1632697784,0,60
HTTP Request,10306986,20,4,84,87,95,1,293,0.00%,9544.2,1435.2,32.87,1632699361,0,200
HTTP Request,8264409,7,2,4,77,82,1,1089,0.00%,7653.6,1150.7,20.57,1633302890,0,60
