Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,2934,22001,22002,25200,25985,27503,10510,30033,0.07%,2.7,534.4,2476.75,1632999899,0,60
HTTP Request,2671,24110,24199,27400,28401,30029,10710,30094,1.27%,2.5,480.8,2603.97,1633002040,0,60
HTTP Request,3011,21389,21392,24400,25394,26991,9811,29607,0.00%,2.8,549.3,2363.52,1633004194,0,60
HTTP Request,3031,21304,21302,24397,25295,26796,10916,30045,0.03%,2.8,552.1,2428.02,1633006397,0,60
HTTP Request,141477,457,401,804,997,1300,2,2700,0.00%,131.0,2519.3,278.02,1633069502,0,60
HTTP Request,145024,446,400,800,991,1294,2,2403,0.00%,134.3,2582.7,268.58,1633071615,0,60
HTTP Request,142206,455,401,803,997,1299,2,2500,0.00%,131.7,2532.2,276.81,1633073740,0,60
HTTP Request,143587,451,400,801,993,1294,2,2305,0.00%,132.9,2556.9,269.70,1633076182,0,60
HTTP Request,142798,453,400,803,996,1299,2,2498,0.00%,132.2,2543.0,278.11,1633078369,0,60
HTTP Request,148698,435,399,798,903,1202,2,2203,0.00%,137.7,2647.9,263.26,1633080602,0,60
HTTP Request,223494,289,208,596,699,986,2,2006,0.00%,207.0,3154.1,213.77,1633510504,0,60
HTTP Request,241522,268,203,505,608,898,1,1893,0.00%,223.6,3408.2,200.73,1633512809,0,60
HTTP Request,240982,268,203,505,609,898,1,1802,0.00%,223.2,3401.5,201.43,1633515226,0,60
HTTP Request,240758,269,203,505,607,897,2,2000,0.00%,223.0,3398.0,198.07,1633517551,0,60
HTTP Request,237689,272,203,506,692,899,1,1901,0.00%,220.1,3354.1,201.30,1633519745,0,60
