Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,863588,74,87,106,114,185,1,1485,0.00%,800.0,1562.4,41.29,1624607865,1024,60
HTTP Request,1085359,59,78,99,106,180,2,1484,0.00%,1005.3,269.0,42.45,1624895398,50,60
HTTP Request,861271,75,87,105,113,185,1,1699,0.00%,797.7,1558.1,41.05,1624898701,1024,60
HTTP Request,1009822,64,85,101,106,183,1,2301,0.00%,935.3,250.3,43.95,1624936047,50,60
HTTP Request,919732,70,85,103,109,179,2,1220,0.00%,851.8,1663.7,41.13,1624939355,1024,60
HTTP Request,836439,77,91,107,119,193,1,1287,0.00%,775.1,207.4,44.24,1624950348,50,60
HTTP Request,20021,16174,15022,15066,30038,30063,8616,30189,99.24%,18.2,10.2,4015.14,1624951997,50,300
HTTP Request,701422,92,96,121,183,201,2,2602,0.00%,649.8,1269.1,45.89,1624953664,1024,60
HTTP Request,20167,16052,15015,15036,30030,30045,15000,30150,100.00%,18.4,9.9,3807.66,1624955342,1024,300
HTTP Request,1047762,61,84,100,105,178,2,1507,0.00%,970.8,259.8,43.99,1624981798,50,60
HTTP Request,20915,15439,15015,15026,15041,30040,15002,30093,100.00%,19.1,8.2,2484.86,1624983494,50,300
HTTP Request,877827,73,89,104,108,180,2,1587,0.00%,813.0,1587.9,39.73,1624985108,1024,60
HTTP Request,20240,15989,15021,15050,30031,30053,10118,30233,98.85%,18.5,9.9,3658.23,1624986783,1024,300
HTTP Request,1170345,55,74,97,103,170,1,1405,0.00%,1084.0,290.1,41.02,1625022682,50,60
HTTP Request,2084356,152,28,85,312,1780,0,30149,100.00%,1929.8,659.4,1080.65,1625024322,50,300
HTTP Request,906836,71,86,102,108,178,2,1612,0.00%,840.1,1640.9,39.50,1625025943,1024,60
HTTP Request,508649,628,37,618,1861,15022,0,30132,99.99%,471.1,163.3,2814.19,1625027592,1024,300
HTTP Request,1049265,61,84,100,105,181,1,1016,0.00%,971.9,260.1,42.77,1625045646,50,60
HTTP Request,20959,15524,15016,15034,15061,30042,11367,30152,98.94%,18.9,8.2,2646.87,1625047371,50,300
HTTP Request,917864,70,87,103,109,181,1,1302,0.00%,850.1,1660.3,41.16,1625049036,1024,60
HTTP Request,20150,16023,15016,15041,30031,30046,10088,30116,99.85%,18.2,9.7,3749.94,1625050711,1024,300
HTTP Request,2517032,25,20,51,59,73,1,512,0.00%,2331.4,623.8,16.86,1625213029,50,60
HTTP Request,26398,12225,15016,15140,15342,30194,0,32379,99.05%,24.2,9.8,6578.77,1625214684,50,300
HTTP Request,1966713,32,28,57,63,74,2,1066,0.00%,1821.6,3557.8,16.97,1625216337,1024,60
HTTP Request,21491,15020,15014,15039,15062,15120,15002,15262,100.00%,19.6,7.0,21.81,1625218060,1024,300
HTTP Request,2598268,24,19,49,57,71,1,453,0.00%,2406.9,644.0,16.03,1625301402,50,60
