Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,1513629,42,16,91,94,105,1,301,0.00%,1402.4,1585.9,38.39,1624867118,1024,60
HTTP Request,1446398,44,22,87,93,111,1,1021,0.00%,1339.8,238.1,35.25,1624902512,50,60
HTTP Request,1639283,39,18,84,88,101,1,1081,0.00%,1518.4,1717.1,33.33,1624905803,1024,60
HTTP Request,1252490,51,68,93,98,114,1,1092,0.00%,1160.1,206.2,36.38,1624957500,50,60
HTTP Request,1313493,49,30,91,97,113,1,1118,0.00%,1216.6,1375.8,35.82,1624961343,1024,60
HTTP Request,1508548,42,20,87,92,105,1,1122,0.00%,1397.1,248.3,34.93,1624989022,50,60
HTTP Request,1568019,41,19,86,91,104,1,1102,0.00%,1452.6,1642.7,34.55,1624992441,1024,60
HTTP Request,1462358,44,21,88,93,111,1,298,0.00%,1354.4,240.7,35.57,1625029325,50,60
HTTP Request,1646836,39,18,84,88,105,1,274,0.00%,1525.5,1725.2,33.64,1625032812,1024,60
HTTP Request,1500489,43,17,90,94,104,0,216,0.00%,1389.8,247.0,38.20,1625053404,50,60
HTTP Request,1565170,41,16,89,93,103,0,300,0.00%,1450.0,1639.8,37.73,1625056899,1024,60
HTTP Request,2244520,28,23,54,61,79,1,250,0.00%,2079.1,369.5,17.03,1625220237,50,60
HTTP Request,3421144,18,16,36,42,55,1,265,0.00%,3169.0,3583.6,11.30,1625223685,1024,60
HTTP Request,3992424,16,13,33,39,50,1,1035,0.00%,3697.7,657.0,10.46,1625308621,50,60
HTTP Request,3484152,18,16,34,40,53,1,266,0.00%,3227.0,3649.1,10.83,1625311949,1024,60
HTTP Request,2390766,27,16,63,68,83,1,1079,0.00%,2214.4,393.6,22.58,1625394983,50,60
HTTP Request,2531104,25,15,62,67,82,1,482,0.00%,2344.2,2651.0,22.35,1625398487,1024,60
HTTP Request,2526891,25,20,49,55,69,1,1028,0.00%,2340.5,416.0,15.23,1625568047,50,60
HTTP Request,2169479,99,93,161,181,218,1,399,0.00%,2009.8,357.2,43.96,1625569709,50,200
HTTP Request,2403821,26,17,63,68,81,1,1076,0.00%,2226.4,2517.8,22.03,1625571435,1024,60
HTTP Request,2269964,95,89,156,176,215,2,1106,0.00%,2102.5,2377.6,43.04,1625573185,1024,200
HTTP Request,2697422,23,19,46,53,73,1,135,0.00%,2498.4,444.0,15.02,1625654540,50,60
HTTP Request,2226590,96,89,162,182,223,2,1112,0.00%,2062.5,366.6,45.55,1625656277,50,200
HTTP Request,2834938,22,19,43,51,70,1,145,0.00%,2625.7,2969.2,14.15,1625657983,1024,60
HTTP Request,2302420,93,86,158,178,217,2,1212,0.00%,2132.3,2411.4,44.65,1625659689,1024,200
HTTP Request,3667941,17,14,34,41,54,0,1023,0.00%,3397.3,603.7,11.21,1625740962,50,60
HTTP Request,2595401,83,76,141,159,195,2,1141,0.00%,2403.6,427.2,40.53,1625742636,50,200
HTTP Request,3823641,16,14,32,39,55,0,1069,0.00%,3541.8,4005.1,10.68,1625744271,1024,60
HTTP Request,2985848,72,65,122,138,170,1,1130,0.00%,2765.5,3127.4,35.13,1625745908,1024,200
HTTP Request,3232106,20,16,39,47,65,0,1056,0.00%,2994.0,532.1,13.41,1625835791,50,60
HTTP Request,2546813,84,80,149,171,202,1,1162,0.00%,2359.4,419.4,45.02,1625837497,50,200
HTTP Request,3270574,19,12,54,59,69,1,1080,0.00%,3029.1,3425.4,18.54,1625839340,1024,60
HTTP Request,2711301,79,76,142,166,200,1,1206,0.00%,2512.0,2840.8,45.11,1625841016,1024,200
HTTP Request,2138520,30,19,67,74,92,1,1082,0.00%,1980.7,352.0,24.16,1626000903,50,60
HTTP Request,1954910,110,99,189,208,263,2,1274,0.00%,1811.1,321.9,54.23,1626002543,50,200
HTTP Request,2742341,23,20,44,51,65,1,1048,0.00%,2540.3,2872.8,13.71,1626004186,1024,60
HTTP Request,2021790,106,98,183,202,251,1,1220,0.00%,1873.1,2118.2,52.57,1626005849,1024,200
HTTP Request,3403148,19,15,37,44,58,1,139,0.00%,3151.7,560.1,12.22,1626087603,50,60
HTTP Request,2565763,84,77,143,162,200,1,1174,0.00%,2377.2,422.5,41.86,1626089290,50,200
HTTP Request,3476963,18,16,35,42,57,1,230,0.00%,3220.5,3641.8,11.50,1626090952,1024,60
HTTP Request,2712483,79,72,135,152,188,1,373,0.00%,2512.2,2840.9,38.78,1626092594,1024,200
HTTP Request,2219129,29,19,64,70,85,2,908,0.00%,2055.9,365.4,22.64,1626173753,50,60
HTTP Request,2025439,106,98,180,198,238,3,378,0.00%,1876.0,333.4,50.24,1626175505,50,200
HTTP Request,2347433,27,18,63,68,78,2,289,0.00%,2174.2,2458.7,21.69,1626177281,1024,60
HTTP Request,2090083,102,96,178,198,240,2,1267,0.00%,1935.7,2189.0,51.93,1626179028,1024,200
HTTP Request,2638712,24,19,48,55,70,1,1064,0.00%,2443.9,434.4,15.39,1626263859,50,60
HTTP Request,2310622,93,88,153,173,212,2,1200,0.00%,2140.5,380.4,42.71,1626265558,50,200
HTTP Request,2791563,23,19,45,52,67,1,1043,0.00%,2585.5,2923.8,14.39,1626267314,1024,60
HTTP Request,2373523,90,85,148,168,205,2,1151,0.00%,2198.6,2486.3,41.21,1626269009,1024,200
HTTP Request,3486054,18,15,36,43,58,0,1032,0.00%,3229.6,573.9,12.07,1626351515,50,60
HTTP Request,2559786,84,77,143,162,201,1,1079,0.00%,2370.8,421.4,41.68,1626353194,50,200
HTTP Request,3269146,19,16,39,47,64,1,1071,0.00%,3027.7,3423.9,13.19,1626354968,1024,60
HTTP Request,2745955,78,71,134,151,185,2,1123,0.00%,2543.7,2876.6,38.62,1626356751,1024,200
HTTP Request,2351290,27,22,53,61,81,1,1048,0.00%,2177.8,387.1,17.45,1626782278,50,60
HTTP Request,1961934,109,102,177,196,240,1,3118,0.00%,1817.8,323.1,47.33,1626783917,50,200
HTTP Request,2556655,25,21,47,54,70,1,1062,0.00%,2368.4,2678.4,14.87,1626785666,1024,60
HTTP Request,2102298,102,95,166,187,231,3,1263,0.00%,1947.1,2201.9,52.50,1626787325,1024,200
