Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,13792492,4,3,6,9,25,0,1079,100.00%,12773.6,28279.1,19.33,1629182006,50,60
HTTP Request,13796829,13,9,26,38,82,0,3088,100.00%,12776.4,28285.3,44.88,1629183852,50,200
HTTP Request,9841542,6,3,7,10,22,0,7234,100.00%,9109.1,20166.3,47.47,1629201302,50,60
HTTP Request,6630757,30,5,28,50,1021,0,3052,100.00%,6143.2,13600.3,142.51,1629203094,50,200
HTTP Request,7570667,8,3,10,16,32,1,3034,100.00%,7011.2,15521.9,55.41,1629264540,50,60
HTTP Request,11995639,5,4,7,11,31,1,7259,100.00%,11100.8,24575.7,16.96,1629267919,50,60
HTTP Request,13496949,14,5,24,36,95,1,10010,100.00%,12487.6,27646.0,60.08,1629269775,50,200
HTTP Request,6123877,10,3,7,10,29,0,3057,100.00%,5668.6,12549.5,80.61,1629279689,50,60
HTTP Request,6165072,33,6,30,52,1027,0,3047,100.00%,5709.7,12640.5,148.23,1629281521,50,200
HTTP Request,18626382,3,2,8,10,17,0,1034,100.00%,17251.7,5761.0,3.87,1629289569,50,60
HTTP Request,19438266,11,3,27,33,50,0,1084,100.00%,18002.2,6011.9,12.34,1629291370,50,200
HTTP Request,27935029,2,1,5,7,12,0,1037,100.00%,25870.6,8639.1,2.84,1629348676,50,60
HTTP Request,27422660,7,4,18,25,55,0,1021,100.00%,25396.3,8480.8,10.77,1629350487,50,200
HTTP Request,19089200,3,2,7,9,14,0,1020,100.00%,17678.3,5903.4,3.12,1629355958,50,60
HTTP Request,19736845,10,9,23,28,43,0,1046,100.00%,18277.6,6103.6,9.37,1629357811,50,200
