Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,9192824,3,2,6,8,14,0,213,100.00%,19163.1,6455.4,2.88,1629806687,50,60
HTTP Request,9760782,9,7,23,30,45,0,1018,100.00%,20345.7,6853.9,9.85,1629807889,50,200
HTTP Request,5109256,5,1,8,11,18,0,30047,100.00%,10649.2,3590.9,156.62,1629866203,50,60
HTTP Request,5036737,18,4,23,31,49,0,10025,100.00%,10506.4,3553.0,307.75,1629867408,50,200
HTTP Request,562973,50,2,5,8,168,0,37219,0.29%,1155.9,147.7,795.34,1629878441,50,60
HTTP Request,957,30028,30032,30033,30034,30035,30002,30038,100.00%,1.9,5.0,8.09,1632728968,0,60
HTTP Request,3194,30027,30032,30033,30034,30034,30002,30053,100.00%,6.3,16.5,7.90,1632730438,0,200
HTTP Request,80,30028,30033,30034,30035,30035,30003,30037,100.00%,.2,.4,9.00,1632734714,0,5
HTTP Request,160,30026,30031,30033,30033,30034,30003,30035,100.00%,.3,.9,8.75,1632735866,0,10
HTTP Request,80,30026,30032,30034,30034,30034,30002,30035,100.00%,.2,.4,10.04,1632805314,0,5
HTTP Request,159,30029,30033,30035,30035,30036,30004,30037,100.00%,.3,.8,8.30,1632806458,0,10
HTTP Request,372979,54,13,29,37,55,1,30054,0.13%,735.5,92.8,1076.06,1633506314,0,40
HTTP Request,1306809,19,13,29,35,47,1,30035,0.01%,2598.9,320.4,321.66,1633507627,0,50
HTTP Request,123262,225,13,62,68,96,1,30038,0.67%,242.8,34.0,2453.99,1633508934,0,55
HTTP Request,489122,61,16,36,42,56,1,30043,0.14%,963.5,121.9,1127.23,1633510200,0,60
HTTP Request,395233,246,22,46,53,87,1,30043,0.74%,777.7,110.1,2567.55,1633511469,0,200
HTTP Request,640,30026,30031,30032,30033,30034,30002,30036,100.00%,1.3,3.5,8.75,1633594786,0,40
