Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,5781273,11,9,18,21,29,1,1055,0.00%,5354.1,1218.0,5.23,1626191554,50,60
HTTP Request,4916605,43,40,57,73,90,2,1093,0.00%,4553.7,1036.1,12.42,1626193060,50,200
HTTP Request,4906792,13,11,21,24,33,0,1038,0.00%,4544.2,1033.8,5.56,1626327106,50,60
HTTP Request,4284534,50,47,67,84,104,2,1088,0.00%,3968.3,902.9,14.57,1626328801,50,200
HTTP Request,3495423,18,16,28,33,63,0,380,0.00%,3237.1,736.4,12.58,1627417787,50,60
HTTP Request,3212305,66,61,88,113,196,1,1173,0.00%,2975.8,677.1,29.02,1627419320,50,200
HTTP Request,3610304,17,16,27,31,39,1,699,0.00%,3344.2,760.8,5.98,1627511450,50,60
HTTP Request,3287282,65,62,81,87,125,1,1087,0.00%,3045.7,693.0,13.89,1627512939,50,200
HTTP Request,3754178,17,15,27,31,41,1,312,0.00%,3480.9,791.9,7.08,1627550733,50,60
HTTP Request,3378887,63,61,82,100,129,3,1075,0.00%,3130.1,712.2,17.37,1627552310,50,200
