Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,5803253,11,8,24,30,48,1,241,0.00%,5374.2,808.0,10.31,1628457344,50,60
HTTP Request,6307174,34,30,60,70,89,1,276,0.00%,5841.1,878.4,18.13,1628458843,50,200
HTTP Request,10478361,6,3,15,19,32,0,1059,0.00%,9704.2,1459.0,7.02,1628795451,50,60
HTTP Request,11562547,18,15,35,44,68,0,1093,0.00%,10707.9,1610.1,13.70,1628797133,50,200
HTTP Request,10180261,6,3,16,21,37,0,1033,0.00%,9427.6,1417.4,7.97,1629062378,50,60
HTTP Request,11846005,18,14,36,44,70,0,1142,0.00%,10970.1,1649.5,14.14,1629063904,50,200
HTTP Request,10160122,6,3,15,20,30,1,108,0.00%,9408.9,1414.6,6.58,1629667125,50,60
HTTP Request,11209661,19,16,34,41,58,1,254,0.00%,10381.2,1560.9,11.45,1629668769,50,200
HTTP Request,9652394,6,5,13,16,25,1,233,0.00%,8939.1,1343.9,5.07,1630271966,50,60
HTTP Request,9141626,23,21,38,43,54,1,1065,0.00%,8465.8,1273.1,10.06,1630273591,50,200
