Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users

HTTP Request,29966922,2,1,5,7,12,0,1037,100.00%,27752.6,9348.9,2.76,1630336166,50,60
HTTP Request,31502714,6,4,16,22,36,0,1764,100.00%,29175.0,9828.1,7.96,1630338022,50,200
HTTP Request,28365442,2,1,5,7,12,0,1018,100.00%,26269.4,8849.2,2.89,1630339915,1024,60
HTTP Request,28439229,7,5,18,23,38,0,1041,100.00%,26337.2,8872.1,8.29,1630341812,1024,200
HTTP Request,27245944,2,1,5,7,13,0,1037,100.00%,25231.3,8499.6,3.01,1630422473,50,60
HTTP Request,31108928,6,4,18,23,39,0,718,100.00%,28809.0,9704.8,8.58,1630424387,50,200
HTTP Request,27107851,2,1,5,8,16,0,725,100.00%,25103.6,8456.5,3.40,1630426235,1024,60
HTTP Request,31819916,6,5,15,20,34,0,184,100.00%,29467.2,9926.5,7.16,1630428133,1024,200
HTTP Request,29543796,2,1,5,6,11,0,1031,100.00%,27361.8,9217.3,2.60,1630563057,50,60
HTTP Request,7149962,9,5,18,41,49,0,1066,0.00%,6621.8,989.1,11.03,1630565425,50,60
HTTP Request,8208938,7,7,15,18,30,0,1029,0.00%,7602.3,1135.5,5.99,1630595890,50,60
HTTP Request,7311931,29,25,55,64,78,1,1080,0.00%,6771.6,1011.8,16.54,1630597580,50,200
HTTP Request,8149297,7,7,15,18,30,0,1031,0.00%,7547.1,1127.3,6.13,1630599312,1024,60
HTTP Request,7056369,30,26,57,65,80,1,1051,0.00%,6534.6,976.4,16.90,1630601031,1024,200
HTTP Request,6235542,10,9,19,23,36,0,228,0.00%,5774.8,862.6,7.34,1630681981,50,60
HTTP Request,5560372,38,34,68,78,95,1,1095,0.00%,5149.5,769.4,19.63,1630683704,50,200
HTTP Request,6206706,10,9,19,23,37,0,260,0.00%,5747.7,858.5,7.59,1630685425,1024,60
HTTP Request,5634640,38,34,67,77,94,1,1069,0.00%,5218.1,779.7,19.20,1630687140,1024,200
HTTP Request,5722406,11,7,37,45,52,1,105,0.00%,5299.5,791.6,12.61,1630767444,50,60
HTTP Request,4780229,45,39,84,95,110,1,1062,0.00%,4427.3,661.5,27.00,1630769188,50,200
HTTP Request,5794177,11,7,37,45,52,1,482,0.00%,5371.1,802.3,12.52,1630770923,1024,60
HTTP Request,5012392,43,35,81,93,108,1,290,0.00%,4642.3,693.6,26.39,1630772658,1024,200
HTTP Request,7762664,8,5,13,40,46,1,1017,0.00%,7189.0,1073.8,10.35,1630853876,50,60
HTTP Request,6346921,33,24,68,81,94,1,1032,0.00%,5877.7,878.2,22.88,1630855545,50,200
HTTP Request,7756932,8,5,13,40,46,1,1042,0.00%,7183.9,1073.0,10.31,1630857272,1024,60
