Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,1028111,62,63,67,69,74,46,1067,0.00%,952.1,143.2,3.74,1626185288,50,60
HTTP Request,1021484,211,138,147,1142,1355,113,8185,0.00%,944.5,142.0,330.20,1626186765,50,200
HTTP Request,885077,73,73,79,81,88,55,167,0.00%,819.6,123.3,4.63,1626324048,50,60
HTTP Request,882224,244,159,174,1170,1392,134,10554,0.00%,816.2,122.8,382.87,1626325497,50,200
HTTP Request,867786,74,74,80,83,106,5,1098,0.00%,803.8,120.9,9.87,1627411627,50,60
HTTP Request,861307,250,163,182,1173,1396,3,30066,0.00%,796.7,119.8,368.89,1627413141,50,200
HTTP Request,673001,96,94,108,120,140,7,1028,0.00%,623.3,93.7,11.74,1627505428,50,60
HTTP Request,672902,320,206,401,1221,3228,3,11296,0.00%,622.2,93.6,446.93,1627506939,50,200
HTTP Request,707760,91,90,99,103,113,6,333,0.00%,655.6,98.6,6.66,1627544378,50,60
HTTP Request,719995,299,195,228,1211,1632,2,30075,0.00%,666.0,100.2,449.79,1627545886,50,200
